;# Top;Exchange;Score;Trading volume(24h);Avg. Liquidity;Weekly Visits;# Markets;# Coins;Fiat Supported
0;1;Binance;9.9;$26,896,360,935;875;16,885,328;1623;411;EUR,  GBP,  BRL and +8 more
1;2;Coinbase Exchange;8.2;$3,851,040,529;749;83,591;401;248;USD, EUR, GBP
2;3;Bybit;7.8;$5,965,344,299;619;7,019,422;869;610;USD,  EUR,  GBP and +3 more
3;4;OKX;7.6;$4,590,885,421;613;5,690,017;714;330;AED,  ARS,  AUD and +43 more
4;5;Upbit;7.4;$3,158,192,390;540;2,606,669;303;193;KRW
5;6;Kraken;7.3;$1,251,528,285;750;1,764,280;795;258;USD, EUR, GBP and +4 more
6;7;KuCoin;6.9;$1,151,968,547;605;1,964,224;1355;806;USD, AED, ARS and +45 more
7;8;Gate.io;6.9;$4,080,479,573;526;3,803,762;3586;2108;EUR,  USD,  GBP and +19 more
8;9;HTX;6.9;$2,639,240,563;431;4,707,746;858;700;ALL, AUD, BRL and +47 more
9;10;Bitfinex;6.8;$548,175,947;535;200,206;403;181;USD, EUR, GBP and +1 more
10;11;MEXC;6.7;$1,471,837,285;517;3,332,673;2594;2167;EUR,  USD,  GBP and +12 more
11;12;Bitget;6.7;$2,427,541,964;587;3,529,102;1075;796;USD, EUR, GBP and +12 more
12;13;Bitstamp;6.7;$357,907,692;559;286,046;190;88;USD, EUR, GBP
13;14;Crypto.com Exchange;6.6;$1,834,652,337;634;1,202,929;705;347;USD,  EUR
14;15;Binance TR;6.5;$261,236,487;428;544,472;223;199;TRY
15;16;Gemini;6.5;$117,326,842;651;293,757;117;77;USD,  GBP,  EUR and +4 more
16;17;Binance.US;6.5;$20,711,349;514;368,120;140;129;USD
17;18;Tokocrypto;6.5;$17,833,028;534;193,808;434;348;IDR
18;19;BingX;6.1;$631,333,305;585;2,807,717;929;707;USD, THB, MYR and +4 more
19;20;bitFlyer;6.1;$185,301,236;547;513,505;13;9;USD, JPY, EUR
